"date","time","long","lat"
2015-01-01,"03:22",-81.38001975,28.559764316
2015-01-02,"15:41",-81.386303147,28.523227343
2015-01-02,"16:20",-81.39603722,28.510560214
2015-01-02,"17:51",-81.381908046,28.538618356
2015-01-04,"16:53",-81.38615689,28.527919227
2015-01-05,"14:12",-81.38221322,28.547085108
2015-01-05,"15:05",-81.38001975,28.559764316
2015-01-05,"15:21",-81.375836788,28.56834029
2015-01-05,"18:45",-81.388714915,28.515529344
2015-01-06,"14:35",-81.385958341,28.526826374
2015-01-06,"19:06",-81.37566248,28.572567804
2015-01-07,"00:35",-81.376781926,28.564477389
2015-01-07,"08:44",-81.3861427,28.598593446
2015-01-07,"09:23",-81.384124202,28.533484981
2015-01-07,"11:49",-81.399178417,28.509323572
2015-01-08,"07:59",-81.386585188,28.606848387
2015-01-08,"13:35",-81.38250689,28.55139629
2015-01-08,"15:30",-81.382441467,28.540776327
2015-01-08,"18:40",-81.399633063,28.510103547
2015-01-09,"11:53",-81.386296698,28.523038479
2015-01-09,"17:20",-81.386119325,28.529256473
2015-01-09,"17:36",-81.413492314,28.50917051
2015-01-09,"18:20",-81.396051212,28.510552556
2015-01-10,"11:07",-81.383732356,28.594386983
2015-01-10,"14:50",-81.38248409,28.544583456
2015-01-10,"15:55",-81.383473326,28.534528665
2015-01-10,"16:22",-81.386104673,28.521374985
2015-01-10,"17:35",-81.398269745,28.510779572
2015-01-11,"16:54",-81.386717844,28.535422029
2015-01-11,"17:30",-81.375658102,28.571578236
2015-01-12,"01:17",-81.384427562,28.595190374
2015-01-12,"05:09",-81.385584376,28.596589619
2015-01-12,"05:20",-81.385182033,28.595957071
2015-01-12,"05:30",-81.385433007,28.595956583
2015-01-12,"05:40",-81.385433007,28.595956583
2015-01-12,"07:32",-81.386555714,28.60602002
2015-01-12,"07:55",-81.386151692,28.526726493
2015-01-12,"10:00",-81.382411621,28.593453569
2015-01-12,"10:19",-81.41416748,28.509165063
2015-01-12,"12:37",-81.375276794,28.571165333
2015-01-12,"15:25",-81.380694336,28.558521587
2015-01-12,"17:40",-81.375863958,28.572905771
2015-01-12,"18:59",-81.382430093,28.543101914
2015-01-12,"19:11",-81.386536335,28.605482897
2015-01-13,"18:14",-81.382694805,28.536179463
2015-01-14,"07:33",-81.381865573,28.539562475
2015-01-14,"16:21",-81.386495294,28.535508594
2015-01-15,"06:27",-81.418435497,28.507989219
2015-01-15,"15:55",-81.38235574,28.546992312
2015-01-15,"17:45",-81.385182033,28.595957071
